,,0
108,31,1965071.0
27,-12,1963718.0
118,40,1963598.0
-5,55,1962506.0
30,2,1961060.0
125,46,1959503.0
20,44,1957030.0
81,23,1950514.0
103,23,1950157.0
-89,41,1948644.0
35,-17,1947982.0
12,-6,1947571.0
-10,30,1946547.0
-6,6,1944224.0
43,16,1943656.0
9,9,1943139.0
71,24,1942076.0
37,48,1941543.0
84,20,1941172.0
9,52,1937977.0
102,2,1937255.0
-4,51,1935126.0
13,32,1930877.0
114,40,1928706.0
144,-38,1927265.0
0,6,1924996.0
-5,34,1923901.0
79,7,1921662.0
130,32,1920643.0
32,30,1919750.0
12,45,1917279.0
29,-1,1915578.0
-83,28,1913389.0
100,6,1912441.0
11,9,1910132.0
-1,38,1909300.0
114,26,1907928.0
44,40,1907729.0
73,17,1905442.0
-52,-24,1904147.0
126,39,1903067.0
35,-15,1900026.0
38,55,1898660.0
70,40,1893471.0
104,23,1892305.0
121,16,1891760.0
39,-5,1882009.0
9,47,1881165.0
123,47,1879985.0
-112,40,1879121.0
109,35,1878776.0
80,22,1877918.0
5,14,1870273.0
153,-28,1862990.0
52,36,1862897.0
121,17,1861311.0
124,11,1860446.0
28,-2,1858291.0
69,37,1856282.0
48,31,1855180.0
126,38,1851531.0
74,28,1848721.0
107,23,1843795.0
102,16,1839619.0
-87,39,1838463.0
-73,7,1835694.0
21,52,1834617.0
-90,14,1833816.0
113,37,1831740.0
95,18,1830079.0
109,30,1829935.0
8,4,1829178.0
68,37,1826446.0
130,45,1821766.0
48,29,1821746.0
108,28,1820051.0
60,56,1819555.0
35,8,1818390.0
-57,-35,1815610.0
124,10,1815068.0
119,28,1813936.0
-7,32,1808813.0
20,52,1805907.0
8,52,1805543.0
-98,19,1802525.0
105,-7,1802315.0
77,25,1801024.0
-88,42,1800278.0
-89,13,1799280.0
4,6,1795680.0
5,12,1793632.0
32,-4,1793050.0
39,-16,1791693.0
102,15,1791185.0
6,9,1784975.0
13,9,1780960.0
10,44,1780083.0
-88,15,1778032.0
117,29,1777236.0
120,41,1775525.0
32,14,1772881.0
-46,-24,1769938.0
80,15,1765175.0
49,37,1764847.0
110,24,1762680.0
129,44,1762153.0
23,42,1761909.0
111,33,1758173.0
22,-6,1757132.0
-14,8,1753802.0
33,-15,1753800.0
11,44,1753374.0
114,24,1745684.0
81,7,1741614.0
104,15,1739976.0
116,25,1739492.0
12,9,1736928.0
31,3,1734376.0
101,6,1728899.0
119,-4,1726654.0
-8,31,1726328.0
31,-2,1723804.0
28,-13,1722951.0
83,22,1722716.0
130,46,1716924.0
107,11,1716181.0
65,31,1715181.0
-83,23,1715075.0
-89,42,1714553.0
10,48,1713644.0
-2,51,1713085.0
114,28,1712646.0
-99,20,1712473.0
-102,19,1711544.0
118,29,1711141.0
11,49,1708579.0
-2,50,1708155.0
-16,14,1700776.0
11,43,1699690.0
-36,-6,1697672.0
77,31,1697365.0
125,8,1696080.0
108,24,1694804.0
82,18,1694598.0
117,23,1692348.0
-7,6,1688202.0
-38,-11,1688053.0
74,12,1687699.0
-45,-3,1683322.0
103,16,1682421.0
-69,10,1680716.0
33,-10,1678828.0
121,32,1677278.0
84,21,1677034.0
135,35,1676678.0
8,5,1675925.0
46,31,1674538.0
12,50,1674215.0
115,40,1673542.0
23,37,1664911.0
101,25,1663990.0
67,39,1662383.0
2,49,1661720.0
38,14,1660271.0
112,38,1659962.0
102,-4,1659485.0
117,25,1657917.0
150,-34,1657748.0
39,47,1653035.0
9,49,1650327.0
2,7,1645861.0
-85,34,1644754.0
-7,33,1641731.0
103,26,1640024.0
5,45,1639599.0
36,-4,1639551.0
85,19,1637830.0
140,37,1635463.0
40,37,1635294.0
82,23,1634742.0
107,28,1634158.0
43,56,1630406.0
127,46,1629269.0
-123,49,1628348.0
2,50,1627639.0
1,36,1627262.0
113,39,1625715.0
97,16,1624348.0
138,36,1620473.0
55,24,1618214.0
122,37,1616751.0
-91,15,1616400.0
107,22,1616313.0
92,25,1612924.0
110,28,1612642.0
31,1,1611521.0
80,29,1609671.0
106,35,1609465.0
8,53,1605602.0
103,-2,1604753.0
44,41,1604584.0
110,29,1604120.0
136,36,1604071.0
123,8,1603285.0
10,59,1602447.0
116,26,1601140.0
8,51,1600970.0
-117,32,1600420.0
83,19,1597720.0
-97,33,1597433.0
102,23,1591806.0
108,27,1590988.0
35,9,1590376.0
108,11,1589196.0
33,-4,1588562.0
99,13,1588542.0
6,13,1587150.0
35,7,1586606.0
-6,33,1585069.0
68,40,1582389.0
108,12,1579938.0
-80,9,1577731.0
-1,11,1576987.0
-5,11,1576243.0
122,39,1574152.0
104,10,1573787.0
-98,20,1573206.0
73,27,1573015.0
69,33,1572989.0
19,51,1572495.0
40,8,1570050.0
-6,37,1567937.0
99,8,1565313.0
74,42,1565001.0
106,9,1564782.0
-9,12,1564204.0
71,23,1561862.0
105,35,1560413.0
80,20,1560138.0
18,-6,1559959.0
109,32,1556248.0
-99,26,1555304.0
119,41,1554729.0
117,-1,1552219.0
-120,36,1549403.0
-103,21,1548158.0
68,24,1547734.0
31,-30,1544382.0
106,23,1543570.0
103,15,1541895.0
108,32,1537433.0
73,15,1535521.0
103,13,1535425.0
106,32,1535062.0
48,34,1534309.0
174,-37,1530815.0
-36,-10,1526213.0
112,24,1525645.0
1,43,1523901.0
96,20,1523820.0
-67,-18,1522235.0
17,59,1518197.0
108,29,1517066.0
-76,10,1516894.0
39,-4,1512183.0
-77,40,1511370.0
7,49,1511074.0
-70,10,1508611.0
-89,15,1505264.0
68,28,1504596.0
102,27,1504417.0
36,11,1503373.0
107,16,1502641.0
124,45,1502631.0
12,51,1502212.0
9,10,1501839.0
11,11,1500669.0
-12,7,1500362.0
-3,7,1500089.0
112,39,1498854.0
8,10,1491820.0
-104,25,1491530.0
44,48,1491410.0
-49,-28,1489290.0
74,13,1487472.0
69,42,1487467.0
118,26,1487043.0
107,33,1483744.0
36,49,1483285.0
50,34,1480962.0
47,34,1480239.0
73,16,1479059.0
110,37,1478929.0
-72,41,1477624.0
-82,30,1474619.0
125,45,1470870.0
13,-6,1470591.0
-77,38,1469896.0
84,18,1468929.0
3,8,1468492.0
58,23,1468421.0
82,16,1468346.0
-48,-22,1466720.0
43,33,1463194.0
27,-26,1462467.0
95,20,1459678.0
124,1,1458808.0
17,48,1458041.0
8,8,1457767.0
-76,45,1457705.0
100,7,1457668.0
-87,36,1457649.0
47,-22,1456307.0
-74,7,1455771.0
24,12,1455320.0
-80,40,1454428.0
71,41,1453861.0
-47,-23,1451902.0
37,0,1451873.0
82,28,1449136.0
117,26,1448906.0
-60,-4,1448256.0
8,44,1447806.0
39,12,1447410.0
-98,35,1445810.0
-7,5,1445155.0
30,46,1444710.0
-62,10,1442220.0
-90,20,1440311.0
99,24,1440259.0
123,7,1440053.0
102,13,1437928.0
42,18,1437641.0
-5,36,1437383.0
101,26,1436152.0
48,38,1435326.0
15,-13,1433722.0
36,37,1428279.0
13,-13,1428044.0
119,40,1426899.0
-2,34,1422919.0
10,43,1417273.0
-93,16,1415633.0
38,48,1413650.0
109,18,1413153.0
36,15,1412565.0
-1,12,1412499.0
-114,53,1410655.0
61,55,1409594.0
119,27,1409027.0
-6,7,1406514.0
-1,53,1406065.0
-80,-2,1405724.0
41,37,1405189.0
10,6,1404785.0
109,13,1404600.0
96,19,1403063.0
